nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
UNIFIL,Libano,Medio Oriente,Levante,civmil,1978-03-19,2025-12-31,800.0,400.0,1200,150000000,ONU,Troops,True
EUTM Mali,Mali,Africa,Africa Occidentale,mil,2013-02-18,2025-12-31,200.0,50.0,250,45000000,UE,Head of Mission,False
KFOR,Kosovo,Europa,Balcani,mil,1999-06-12,2025-12-31,1148.0,700.0,1848,150520083,NATO,Troops,False
MINURSO,Sahara Occidentale,Africa,Africa Settentrionale,civ,1991-04-29,2025-12-31,5.0,10.0,15,5000000,ONU,Head of Mission,True
EUBAM Libya,Libia,Africa,Africa Settentrionale,civmil,2013-05-22,2025-12-31,60.0,40.0,100,20000000,UE,Head of Mission,False
MISIN,Niger,Africa,Africa Occidentale,mil,2018-07-01,2025-12-31,400.0,70.0,470,90000000,ITA,Troops,False
ISAF,Afghanistan,Asia,Asia Centrale,mil,2001-10-07,2014-12-31,2500.0,300.0,2800,500000000,NATO,Troops,False
EUFOR,Repubblica Centrafricana,Africa,Africa Centrale,civmil,2014-02-01,2019-03-15,150.0,50.0,200,35000000,UE,Troops,False
UNMISS,Sudan del Sud,Africa,Africa Orientale,civ,2011-07-09,2025-12-31,20.0,80.0,100,25000000,ONU,Head of Mission,False
EUTM Somalia,Somalia,Africa,Corno d'Africa,mil,2010-04-07,2025-12-31,180.0,70.0,250,40000000,UE,Head of Mission,True
UNPROFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1992-02-21,1995-12-20,1200.0,100.0,1300,200000000,ONU,Troops,False
IFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1995-12-20,1996-12-20,1500.0,150.0,1650,250000000,NATO,Troops,False
SFOR,Bosnia ed Erzegovina,Europa,Balcani,mil,1996-12-20,2004-12-02,800.0,100.0,900,120000000,NATO,Troops,False
UNMIK,Kosovo,Europa,Balcani,civmil,1999-06-10,2008-06-15,300.0,200.0,500,80000000,ONU,Head of Mission,False
UNMIL,Liberia,Africa,Africa Occidentale,civmil,2003-09-19,2018-03-30,150.0,100.0,250,45000000,ONU,Troops,False
MONUC,Repubblica Democratica del Congo,Africa,Africa Centrale,civmil,1999-11-30,2010-06-30,200.0,150.0,350,60000000,ONU,Troops,False
MONUSCO,Repubblica Democratica del Congo,Africa,Africa Centrale,civmil,2010-07-01,2025-12-31,250.0,200.0,450,75000000,ONU,Troops,False
UNOCI,Costa d'Avorio,Africa,Africa Occidentale,civmil,2004-04-04,2017-06-30,180.0,120.0,300,55000000,ONU,Troops,False
UNMIS,Sudan,Africa,Africa Orientale,civ,2005-03-24,2011-07-09,50.0,100.0,150,30000000,ONU,Head of Mission,False
UNAMID,Darfur,Africa,Africa Orientale,civmil,2007-07-31,2020-12-31,300.0,250.0,550,90000000,ONU,Troops,False
UNIKOM,Iraq-Kuwait,Medio Oriente,Golfo Persico,mil,1991-04-09,2003-10-06,50.0,30.0,80,15000000,ONU,Troops,False
UNSCOM,Iraq,Medio Oriente,Golfo Persico,civ,1991-04-03,1999-12-17,20.0,80.0,100,25000000,ONU,Head of Mission,False
UNMOVIC,Iraq,Medio Oriente,Golfo Persico,civ,1999-12-17,2003-03-19,15.0,85.0,100,20000000,ONU,Head of Mission,False
UNSMIH,Haiti,America,Caraibi,civmil,1996-07-01,1997-06-30,100.0,50.0,150,25000000,ONU,Troops,False
UNTMIH,Haiti,America,Caraibi,civmil,1997-08-01,1997-11-30,80.0,40.0,120,20000000,ONU,Troops,False
MIPONUH,Haiti,America,Caraibi,civmil,1997-12-01,2000-03-15,90.0,60.0,150,30000000,ONU,Troops,False
MINUSTAH,Haiti,America,Caraibi,civmil,2004-06-01,2017-10-15,200.0,150.0,350,60000000,ONU,Troops,False
MINUJUSTH,Haiti,America,Caraibi,civmil,2017-10-16,2019-10-15,100.0,100.0,200,40000000,ONU,Troops,False
BINUH,Haiti,America,Caraibi,civ,2019-10-16,2025-12-31,30.0,170.0,200,35000000,ONU,Head of Mission,False
UNTAET,Timor Est,Asia,Asia Sudorientale,civmil,1999-10-25,2002-05-20,300.0,200.0,500,80000000,ONU,Head of Mission,False
UNMISET,Timor Est,Asia,Asia Sudorientale,civmil,2002-05-20,2005-05-20,250.0,150.0,400,65000000,ONU,Troops,False
UNMIT,Timor Est,Asia,Asia Sudorientale,civmil,2006-08-25,2012-12-31,200.0,100.0,300,50000000,ONU,Troops,False
UNMEE,Etiopia-Eritrea,Africa,Corno d'Africa,civmil,2000-07-31,2008-07-31,150.0,100.0,250,40000000,ONU,Troops,False
EUTM RCA,Repubblica Centrafricana,Africa,Africa Centrale,mil,2016-07-19,2025-12-31,120.0,30.0,150,30000000,UE,Head of Mission,False
EUCAP Sahel Niger,Niger,Africa,Africa Occidentale,civ,2012-08-15,2025-12-31,15.0,85.0,100,25000000,UE,Head of Mission,False
EUCAP Sahel Mali,Mali,Africa,Africa Occidentale,civ,2014-04-15,2025-12-31,10.0,90.0,100,20000000,UE,Head of Mission,False
EUNAVFOR MED,Mediterraneo,Europa,Mediterraneo,mil,2015-06-22,2025-12-31,300.0,50.0,350,60000000,UE,Troops,False
IRINI,Mediterraneo,Europa,Mediterraneo,mil,2020-03-31,2025-12-31,250.0,30.0,280,50000000,UE,Troops,False
MINUSMA,Mali,Africa,Africa Occidentale,civmil,2013-04-25,2023-12-31,200.0,150.0,350,70000000,ONU,Troops,False
UNSMIL,Libia,Africa,Africa Settentrionale,civ,2011-09-16,2025-12-31,25.0,175.0,200,40000000,ONU,Head of Mission,False
UNSOS,Somalia,Africa,Corno d'Africa,civ,2013-06-03,2025-12-31,30.0,170.0,200,35000000,ONU,Head of Mission,False
MINUSCA,Repubblica Centrafricana,Africa,Africa Centrale,civmil,2014-04-10,2025-12-31,300.0,200.0,500,80000000,ONU,Troops,False
UNISFA,Abyei,Africa,Africa Orientale,civmil,2011-06-27,2025-12-31,100.0,50.0,150,30000000,ONU,Troops,False
MFO,Egitto,Medio Oriente,Sinai,civmil,1982-01-01,2025-12-31,,,1200,40000000,Coalizione,Logistical Support & Advisory,True
EUMM,Georgia,Eurasia,Caucaso,civ,2009-04-01,2025-12-31,,200.0,200,10000000,UE,Logistical Support & Advisory,False
UNTSO,Israele,Medio Oriente,Israele,civ,1948-01-01,2025-12-31,,100.0,100,20000000,ONU,Logistical Support & Advisory,False
UNAMA,Afghanistan,Asia,Afghanistan,civmil,2002-01-01,2021-12-31,,,10000,250000000,ONU,Logistical Support & Advisory,False
EUAM Iraq,Iraq,Medio Oriente,Iraq,civ,2017-06-01,2025-12-31,,40.0,40,10000000,UE,Logistical Support & Advisory,False
Operation Inherent Resolve,Iraq,Medio Oriente,Iraq-Siria,mil,2014-10-01,2025-12-31,5200.0,,5200,12000000000,Coalizione,Troops (Ground Forces),False
NATO Mission Iraq,Iraq,Medio Oriente,Iraq,mil,2020-01-01,2025-12-31,50.0,,50,5000000,NATO,Logistical Support & Advisory,True
UNFICYP,Cipro,Mediterraneo,Cipro,civmil,1964-01-01,2025-12-31,,,880,60000000,ONU,Logistical Support & Advisory,True
EUTM Mozambique,Mozambico,Africa,Mozambico,civmil,2021-07-01,2025-12-31,,,200,10000000,UE,Logistical Support & Advisory,False
UNAMI,Iraq,Medio Oriente,Iraq,civmil,2003-01-01,2025-12-31,,,1200,150000000,ONU,Logistical Support & Advisory,False
EULEX Kosovo,Kosovo,Europa,Balcani occidentali,civmil,2008-02-01,2025-12-31,,,1600,60000000,UE,Logistical Support & Advisory,True
UNMOGIP,India/Pakistan,Asia,India-Pakistan,civ,1949-01-01,2025-12-31,,40.0,40,8000000,ONU,Logistical Support & Advisory,True
EUCAP Somalia,Somalia,Africa,Corno d'Africa,civ,2012-07-16,2027-02-28,,169.0,169,110000000,UE,Head of Mission,True
EUAM Ukraine,Ucraina,Europa,Est Europa,civ,2014-12-01,2025-12-31,,300.0,300,65000000,UE,Head of Mission,False
EUMA Armenia,Armenia,Eurasia,Caucaso,civ,2023-02-20,2027-02-19,,225.0,225,44000000,UE,Head of Mission,False
EUPM Moldova,Moldova,Europa,Europa Orientale,civ,2023-04-24,2025-12-31,,90.0,90,20000000,UE,Head of Mission,False
EUBAM Moldova-Ukraine,Moldova/Ucraina,Europa,Europa Orientale,civ,2005-12-01,2025-12-31,,130.0,130,30000000,UE,Head of Mission,False
EUBAM Rafah,Palestina,Medio Oriente,Territori Palestinesi,civ,2005-11-25,2025-12-31,,80.0,80,18000000,UE,Head of Mission,True
EUPOL COPPS,Territori Palestinesi,Medio Oriente,Palestina,civ,2006-01-01,2025-12-31,,100.0,100,20000000,UE,Head of Mission,True
EUSDI Gulf of Guinea,Golfo di Guinea,Africa,Africa Occidentale,civmil,2023-12-01,2025-12-31,,120.0,120,30000000,UE,Advisory/Training,False
EUNAVFOR Aspides,Mar Rosso,Africa/Asia,Mare Arabico,mil,2024-02-19,2025-12-31,180.0,,180,55000000,UE,Troops (Naval),True
Italcon,Libano,Medio Oriente,Levant,mil,1982-08-24,1984-03-20,8200.0,0.0,8200,25000000,Bilaterale,Troops (Ground Forces),False
MIBIL,Libano,Medio Oriente,Levant,civmil,2015-01-28,2025-12-31,100.0,50.0,150,25000000,Bilaterale,Advisory/Training,True
MIASIT,Libia,Nord Africa,Nord Africa e Mediterraneo,civmil,2018-01-01,2025-12-31,100.0,50.0,150,25000000,Bilaterale,Logistical Support & Advisory,True
